This is the updated measurement:
goos: linux
goarch: amd64
pkg: gonum.org/v1/gonum/mathext
cpu: AMD Ryzen 9 5900X 12-Core Processor
BenchmarkLi2Heatmap/grid/re[0:11]_im[0:11]         	    6505	      9192 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[11:22]_im[0:11]        	    6534	      9177 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[22:33]_im[0:11]        	    6516	      9139 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[33:44]_im[0:11]        	    6594	      9142 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[44:55]_im[0:11]        	    6489	      9184 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[55:66]_im[0:11]        	    6625	      9084 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[66:77]_im[0:11]        	    6568	      9120 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[77:88]_im[0:11]        	    6476	      9195 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[88:99]_im[0:11]        	    6544	      9150 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[99:110]_im[0:11]       	    6520	      9162 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[110:121]_im[0:11]      	    6484	      9243 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[121:132]_im[0:11]      	    6524	      9244 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[132:143]_im[0:11]      	    6472	      9222 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[143:154]_im[0:11]      	    6578	      9244 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[154:161]_im[0:11]      	    9940	      5931 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[0:11]_im[11:22]        	    6610	      9083 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[11:22]_im[11:22]       	    6507	      9159 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[22:33]_im[11:22]       	    6530	      9101 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[33:44]_im[11:22]       	    6518	      9142 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[44:55]_im[11:22]       	    6494	      9171 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[55:66]_im[11:22]       	    6487	      9029 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[66:77]_im[11:22]       	    6439	      9053 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[77:88]_im[11:22]       	    6502	      9176 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[88:99]_im[11:22]       	    6544	      9196 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[99:110]_im[11:22]      	    6505	      9229 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[110:121]_im[11:22]     	    6404	      9291 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[121:132]_im[11:22]     	    6360	      9284 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[132:143]_im[11:22]     	    6432	      9256 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[143:154]_im[11:22]     	    6316	      9286 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[154:161]_im[11:22]     	   10000	      5874 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[0:11]_im[22:33]        	    6619	      9101 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[11:22]_im[22:33]       	    6568	      9125 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[22:33]_im[22:33]       	    6386	      9145 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[33:44]_im[22:33]       	    6474	      9142 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[44:55]_im[22:33]       	    6524	      9148 ns/op	       0 B/op	       0 allocs/op
